Last name,First name,Student ID,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10,M1,,,,,,,,,,,,,,,,,,,,,,,
Alf,Brian,59118211,96,90,88,93,96,97,88,100,88,88,78,,,,,,,,,,,,,,,,,,,,,,,
Anderson,Jill,59260567,73,83,96,80,84,99,80,87,88,72,80,,,,,,,,,,,,,,,,,,,,,,,
Archangel,Michael,59402923,99,80,60,94,98,73,97,100,89,88,41,,,,,,,,,,,,,,,,,,,,,,,
Astor,John,59545279,93,88,97,100,55,96,86,100,44,97,53,,,,,,,,,,,,,,,,,,,,,,,
Attach,Zach,59687635,69,75,61,65,91,89,82,92,75,68,90,,,,,,,,,,,,,,,,,,,,,,,
Bake,Jake,59829991,56,0,77,78,0,79,0,98,90,0,76,,,,,,,,,,,,,,,,,,,,,,,
Banana,Anna,59972347,92,49,91,74,91,100,100,95,97,96,95,,,,,,,,,,,,,,,,,,,,,,,
Barbie,Ken,60114703,98,98,90,95,87,98,93,96,90,88,93,,,,,,,,,,,,,,,,,,,,,,,
Bees,Apple,60257059,72,80,82,65,34,72,45,95,90,68,82,,,,,,,,,,,,,,,,,,,,,,,
Bledel,Alexis,60399415,0,0,0,0,0,0,0,0,0,0,56,,,,,,,,,,,,,,,,,,,,,,,
Bobby,Ricky,60541771,78,86,76,91,89,79,66,92,86,83,94,,,,,,,,,,,,,,,,,,,,,,,
